index,data,data2
425,3.5,8.5
426,3.3,7.7
427,3.2,6.8
428,3,6
429,1.7,5.7
430,0.3,5.3
431,-1,5
432,-1,4.3
433,-1,3.7
434,-1,3
435,-1.7,2.7
436,-2.3,2.3
437,-3,2
438,-2.3,2.7
439,-1.7,3.3
440,-1,4
441,-0.7,4.3
442,-0.3,4.7
443,0,5
444,-2,5.3
445,-4,5.7
446,-6,6
447,-5.7,5
448,-5.3,4
449,-5,3
450,-5,2.7
451,-5,2.3
452,-5,2
453,-4.7,2
454,-4.3,2
455,-4,2
456,-4,1
457,-4,0
458,-4,0
459,-4,1
460,-4.5,0.5
461,-5,0
462,-5,0.7
463,-5,1.3
464,-5,2
465,-5,3.7
466,-5,5.3
467,-5,7
468,-5.3,6.7
469,-5.7,6.3
470,-6,6
471,-6,6
472,-6,5.5
473,-6,5
474,-5.3,4.3
475,-4.7,3.7
476,-4,3
477,-3.7,2.3
478,-3.3,1.7
479,-3,1
480,-3,1.3
481,-3,1.7
482,-3,2
483,-3,1.7
484,-3,1.3
485,-3,1
486,-3.3,2
487,-3.7,3
488,-4,4
489,-5,5
490,-6.5,6
491,-8,7
492,-7,7
493,-6,7
494,-5,7
495,-4.3,6
496,-3.7,5
497,-3,4
498,-3.3,3.7
499,-3.7,3.3
500,-4,3
501,-4,3
502,-4,3
503,-4,3
504,-3.7,2.7
505,-3.3,2.3
506,-3,2
507,-3,1.7
508,-3,1.3
509,-3,1
510,-3,1.7
511,-3,2.3
512,-3,3
513,-4.3,4.3
514,-5.7,5.7
515,-7,7
516,-7,7
517,-5,6.5
518,-3,6
519,-4,5.3
520,-5,4.7
521,-6,4
522,-7.1,3.4
523,-8.1,2.7
524,-9.2,2.1
525,-8.3,1.8
526,-7.3,1.5
527,-6.4,1.2
528,-6.1,0.7
529,-5.8,0.2
530,-5.6,-0.3
531,-5.5,-0.7
532,-5.4,-1.2
533,-5.3,-1.7
534,-5,-1
535,-3.5,1.5
536,-2,4
537,-4.5,5
538,-7,6
539,-9,6
540,-9,7
541,-5,6
542,-1,5
543,-2,4.3
544,-3,3.7
545,-4,3
546,-6,2.3
547,-8,1.7
548,-10,1
549,-8.3,0.7
550,-6.7,0.3
551,-5,0
552,-5,-0.3
553,-5,-0.7
554,-5,-1
555,-5,-1.3
556,-5,-1.7
557,-5,-2
558,-4.7,-1
559,-4.3,0
560,-4,1
561,-4.7,2.3
562,-5.3,3.7
563,-6,5
564,-6,5
565,-6,5
566,-6,5
567,-6.3,4.7
568,-6.7,4.3
569,-7,4
570,-6.3,3
571,-5.7,2
572,-5,1
573,-5,0.7
574,-5,0.3
575,-5,0
576,-5,-0.3
577,-5,-0.7
578,-5,-1
579,-5,-1
580,-4.7,-0.7
581,-4.3,-0.3
582,-4,0
583,-3,1.5
584,-2,3
585,-1.3,4.7
586,-0.7,6.3
587,0,8
588,0.5,8.5
589,1,9
590,0,9
591,0,8.7
592,0,8.3
593,0,8
594,0,7.3
595,0,6.7
596,0,6
597,0,5
598,0,4
599,0,3
600,-0.3,2.3
601,-0.7,1.7
602,-1,1
603,-1.5,1
604,-2,1
605,-2,0
606,-1.5,1
607,-1,2
608,-0.3,4
609,0.5,6
610,1.2,8
611,2,10
612,1.7,10.3
613,1.3,10.7
614,1,11
615,1.5,11
616,2,11
617,2,10
618,2.5,9
619,3,8
620,3,8
621,3,8
622,3,8
623,3,8
624,2.7,7.3
625,2.3,6.7
626,2,6
627,2,6
628,2,6
629,2,6
630,1.7,6.3
631,1.3,6.7
632,1,7
633,0,7.7
634,-1,8.3
635,-2,9
636,-2.3,9.3
637,-2.7,9.7
638,-3,10
639,-2.7,8.7
640,-2.3,7.3
641,-2,6
642,-2,5.3
643,-2,4.7
644,-2,4
645,-1.5,4
646,-1,4
647,-1,3
648,-1,3
649,-1,3
650,-1,3
651,-1,2.7
652,-1,2.3
653,-1,2
654,-1.3,3
655,-1.7,4
656,-2,5
657,-3,6
658,-4,7
659,-5,8
660,-2.7,7.3
661,-0.3,6.7
662,2,6
663,2,5.3
664,2,4.7
665,2,4
666,3,4
667,3,4
668,3,4
669,2.3,3.7
670,1.7,3.3
671,1,3
672,0.3,3
673,-0.3,3
674,-1,3
675,-1.3,3
676,-1.7,3
677,-2,3
678,-2,3.5
679,-2,4
680,-2,4.5
681,-2,5
682,-2,5.5
683,-2,6
684,-2.8,5.3
685,-3.7,4.7
686,-4.5,4
687,-5.3,3.3
688,-6.2,2.7
689,-7,2
690,-6.7,1.3
691,-6.3,0.7
692,-6,0
693,-5.7,0
694,-5.3,0
695,-5,0
696,-5,-0.3
697,-5,-0.7
698,-5,-1
699,-5,-1
700,-4.5,-1
701,-4,-1
702,-4.3,-0.7
703,-4.7,-0.3
704,-5,0
705,-5.3,1
706,-5.7,2
707,-6,3
708,-6,3.3
709,-6,3.7
710,-6,4
711,-6,3
712,-6,2.5
713,-6,2
714,-6,1.5
715,-6,1
716,-6,0
717,-5.7,-0.3
718,-5.3,-0.7
719,-5,-1
720,-4.7,-0.7
721,-4.3,-0.3
722,-4,0
723,-4,-0.3
724,-4,-0.7
725,-4,-1
726,-4,0
727,-4,1
728,-4,2
729,-4.3,3
730,-4.7,4
731,-5,5
732,-5.3,6
733,-5.7,7
734,-6,8
735,-6,7
736,-6,6
737,-6,6
738,-4.8,5.6
739,-4.1,5.4
740,-3.6,5.1
741,-3,4.9
742,-2.5,4.6
743,-2,4.4
744,-1.4,4.2
745,-0.8,4.1
746,-0.2,4
747,0.3,4
748,0.7,4
749,1.1,3.9
750,1.7,4.3
751,2.3,4.7
752,3,5
753,3.3,5.3
754,3.7,5.7
755,4,6
756,4.3,6.7
757,4.7,7.3
758,5,8
759,5.3,8
760,5.7,8
761,6,8
762,6,8
763,3,8
764,2,7
765,1.7,6.3
766,1.3,5.7
767,1,5
768,5,8
769,2,6
770,-1,4
771,-1.7,3.3
772,-2.3,2.7
773,-3,2
774,-3,2
775,-2.5,3
776,-2,4
777,-2.3,4.7
778,-2.7,5.3
779,-3,6
780,-3,5
781,-3.5,5
782,-4,5
783,-5,4
784,-4,3.5
785,-3,3
786,-3,3
787,-3,3
788,-3,2
789,-3,2.7
790,-3,3.3
791,-3,4
792,-4,3
793,-4.2,2.8
794,-4.4,2.6
795,-4.6,2.4
796,-4.8,2.2
797,-5,2
798,-4.7,2.7
799,-4.3,3.3
800,-4,4
801,-4,4
802,-4,5
803,-4,6
804,-3,6
805,-2.3,5.7
806,-1.7,5.3
807,-1,5
808,-2,4
809,-3,3
810,-2,2
811,-2,1.5
812,-2,1
813,-2.5,1
814,-3,1
815,-3,1
816,-2.7,1
817,-2.3,1
818,-2,1
819,-2,1
820,-2.5,1
821,-3,1
822,-3.3,2
823,-3.7,3
824,-4,4
825,-4,5
826,-4,6
827,-3,6
828,-3,6.7
829,-3,7.3
830,-3,8
831,-2,7
832,-2.5,7
833,-3,7
834,-2.7,6.7
835,-2.3,6.3
836,-2,6
837,-1.7,5.7
838,-1.3,5.3
839,-1,5
840,-1,4.7
841,-1,4.3
842,-1,4
843,-0.7,4
844,-0.3,4
845,0,4
846,0,4
847,0,5
848,0,6
849,0,7
850,1.5,8.5
851,3,10
852,2.5,10
853,2,10
854,2,10
855,2,9.7
856,2,9.3
857,2,9
858,2,8.3
859,2,7.7
860,2,7
861,1.7,6.3
862,1.3,5.7
863,1,5
864,0.7,4.3
865,0.3,3.7
866,0,3
867,-0.3,2.7
868,-0.7,2.3
869,-1,2
870,0,3
871,1,4
872,2,5
873,2,7.3
874,2,9.7
875,2,12
876,1.7,12.3
877,1.3,12.7
878,1,13
879,0.3,12
880,-0.3,11
881,-1,10
882,0.5,9
883,2,8
884,1,6
885,1,5.5
886,1,5
887,1,5
888,1,5
889,1,5
890,1,5
891,1,5
892,1,5
893,1,5
894,1,5
895,1,5
896,2,8
897,2.3,9
898,2.7,10
899,3,11
900,2,12
901,-0.5,12.5
902,-3,13
903,-2.7,12
904,-2.3,11
905,-2,10
906,-2,9.3
907,-2,8.7
908,-2,8
909,-1.7,6.7
910,-1.3,5.3
911,-1,4
912,-1,3.3
913,-1,2.7
914,-1,2
915,-1.3,1.7
916,-1.7,1.3
917,-2,1
918,-1,2.7
919,0,4.3
920,1,6
921,0.5,7.5
922,0,9
923,-1,10
924,-1,10
925,0,10.5
926,1,11
927,1.7,10.7
928,2.3,10.3
929,3,10
930,3.7,9.3
931,4.3,8.7
932,5,8
933,6,8
934,5.5,8
935,5,8
936,1,11
937,3,9
938,5,7
939,4.7,6.7
940,4.3,6.3
941,4,6
942,2.3,7.3
943,0.7,8.7
944,-1,10
945,0,9.3
946,1,8.7
947,2,8
948,1.3,8.3
949,0.7,8.7
950,0,9
951,-0.3,8
952,-0.7,7
953,-1,6
954,-1.7,6
955,-2.3,6
956,-3,6
957,-2,5.3
958,-1,4.7
959,0,4
960,0,3.7
961,0,3.3
962,0,3
963,0,2.5
964,0,2
965,-2,2
966,-2.3,2.3
967,-2.7,2.7
968,-3,3
969,-3.7,3.7
970,-4.3,4.3
971,-5,5
972,-5,4.3
973,-5,3.7
974,-5,3
975,-5,2.7
976,-5,2.3
977,-5,2
978,-5,1.7
979,-5,1.3
980,-5,1
981,-5,1
982,-5,1
983,-5,1
984,-5,1
985,-5,1
986,-5,1
987,-5,1
988,-5,1
989,-5,1
990,-4.7,1.7
991,-4.3,2.3
992,-4,3
993,-4.7,4
994,-5.3,5
995,-6,6
996,-5.7,6
997,-5.3,6
998,-5,6
999,-5,5.7
1000,-5,5.3
1001,-5,5
1002,-4.3,4.7
1003,-3.7,4.3
1004,-3,4
1005,-3,3.5
1006,-3,3
1007,-1,1
1008,-1,0.7
1009,-1,0.3
1010,-1,0
1011,-1,1
1012,-0.5,0.5
1013,0,0
1014,-0.3,0.3
1015,-0.7,0.7
1016,-1,1
1017,-1,1
1018,-1,2
1019,-1,3
1020,-1.3,3
1021,-1.7,3
1022,-2,3
1023,-3,3
1024,-4,2.5
1025,-5,2
1026,-4.7,1.3
1027,-4.3,0.7
1028,-4,0
1029,-3,0
1030,-3.3,-0.3
1031,-3.5,-0.5
1032,-3.8,-0.8
1033,-4,-1
1034,-4.3,-1
1035,-4.5,-1
1036,-4.8,-1
1037,-5,-1
1038,-5,-0.3
1039,-5,0.3
1040,-5,1
1041,-4.5,2
1042,-4,3
1043,-4,4
1044,-3.3,4
1045,-2.7,4
1046,-2,4
1047,-2,3.7
1048,-2,3.3
1049,-2,3
1050,-2.3,2.7
1051,-2.7,2.3
1052,-3,2
1053,-2.7,1.7
1054,-2.3,1.3
1055,-2,1
1056,-2,1
1057,-2,1
1058,-2,1
1059,-2.5,0.5
1060,-3,0
1061,-3,0
1062,-3,1.2
1063,-3,2.3
1064,-3,3.5
1065,-2.9,4.8
1066,-2.8,6.2
1067,-3,7.5
1068,-3.3,7.8
1069,-3.2,8.4
1070,-3,9
1071,-3,8.3
1072,-3,7.7
1073,-3,7
1074,-2.7,5.7
1075,-2.3,4.3
1076,-2,3
1077,-2,2
1078,-2,1
1079,-2,1.5
1080,-2,2
1081,-2,1.5
1082,-2,1
1083,-2,1
1084,-2,1
1085,-2,0
1086,-1.7,1
1087,-1.3,2
1088,-1,3
1089,-1,4
1090,-1,5
1091,-1,6
1092,-2,6
1093,-2,6.5
1094,-2,7
1095,-2,6.7
1096,-2,6.3
1097,-2,6
1098,-1.3,5.3
1099,-0.7,4.7
1100,0,4
1101,-1,4
1102,-1,4
1103,-1,4
1104,-1.3,3.3
1105,-1.7,2.7
1106,-2,2
1107,-2,1.3
1108,-2,0.7
1109,-2,0
1110,-2,0
1111,-2,2.5
1112,-2,5
1113,-2.2,5.5
1114,-2.3,6
1115,-2.5,6.5
1116,-2.7,7
1117,-2.8,7.5
1118,-3,8
1119,-3,8
1120,-3,8
1121,-3,7
1122,-2.7,6
1123,-2.3,5
1124,-2,4
1125,-2,3.7
1126,-2,3.3
1127,-2,3
1128,-2.3,1.7
1129,-2.7,0.3
1130,-3,-1
1131,-3,0
1132,-2.5,0.5
1133,-2,1
1134,-2,2.3
1135,-2,3.7
1136,-2,5
1137,-2.7,6.3
1138,-3.3,7.7
1139,-4,9
1140,-4,9.3
1141,-4,9.7
1142,-4,10
1143,-4.3,8.7
1144,-4.7,7.3
1145,-5,6
1146,-5,5.7
1147,-5,5.3
1148,-5,5
1149,-4.3,3.7
1150,-3.7,2.3
1151,-3,1
1152,-3.3,0.7
1153,-3.7,0.3
1154,-4,0
1155,-4,0
1156,-4,0
1157,-4,0
1158,-3,1.3
1159,-2,2.7
1160,-1,4
1161,-1.5,5.5
1162,-2,7
1163,-2,9
1164,-2,10
1165,-2,11
1166,-2,13
1167,-2,12
1168,-2,11
1169,-2,10
1170,-1.7,8.7
1171,-1.3,7.3
1172,-1,6
1173,-1.3,5
1174,-1.7,4
1175,-2,3
1176,-2.3,2.3
1177,-2.7,1.7
1178,-3,1
1179,-3,0.7
1180,-3,0.3
1181,-3,0
1182,-2.3,1.7
1183,-1.7,3.3
1184,-1,5
1185,-1.3,7.7
1186,-1.7,10.3
1187,-2,13
1188,-1.7,13.7
1189,-1.3,14.3
1190,-1,15
1191,-0.3,14.3
1192,0.3,13.7
1193,1,13
1194,1,11.8
1195,1,10.7
1196,1,9.5
1197,1,8.3
1198,1,7.2
1199,1,6
1200,0.7,5.3
1201,0.3,4.7
1202,0,4
1203,0,4
1204,0,4
1205,0,4
1206,1,5
1207,1,6
1208,1,7
1209,1.5,8.5
1210,2,10
1211,1,11
1212,1,13
1213,1.5,13
1214,2,13
1215,2.7,12.7
1216,3.3,12.3
1217,4,12
1218,5.7,11.7
1219,7.3,11.3
1220,9,11
1221,9,11
1222,9,11
1223,9,11
1224,9,11
1225,9,11
1226,9,11
1227,9,10.7
1228,9,10.3
1229,9,10
1230,9.3,10.3
1231,9.7,10.7
1232,10,11
1233,8.7,10.7
1234,7.3,10.3
1235,6,10
1236,4.5,10
1237,3,10
1238,2,10
1239,1.3,9.3
1240,0.7,8.7
1241,0,8
1242,-0.3,6.7
1243,-0.7,5.3
1244,-1,4
1245,-2.7,4
1246,-4.3,4
1247,-6,4
1248,-5.7,3.7
1249,-5.3,3.3
1250,-5,3
1251,-4,3
1252,-3,3
1253,-2,3
1254,-2,3.7
1255,-2,4.3
1256,-2,5
1257,-2,6.3
1258,-2,7.7
1259,-2,9
1260,-3.3,8.7
1261,-4.7,8.3
1262,-6,8
1263,-6,8
1264,-6,8
1265,-6,8
1266,-5,7
1267,-4,6
1268,-3,5
1269,-3,4.7
1270,-3,4.3
1271,-3,4
1272,-3,4.7
1273,-3,5.3
1274,-3,6
1275,-3,5.7
1276,-3,5.3
1277,-3,5
1278,-2.3,5.3
1279,-1.7,5.7
1280,-1,6
1281,-1.3,6.7
1282,-1.7,7.3
1283,-2,8
1284,-1.7,7.7
1285,-1.3,7.3
1286,-1,7
1287,-1.5,6.5
1288,-2,6
1289,-2,4
1290,-2.7,3.7
1291,-3.3,3.3
1292,-4,3
1293,-4.7,2.7
1294,-5.3,2.3
1295,-6,2
1296,-7,2
1297,-6,2
1298,-5.7,1.7
1299,-5.3,1.3
1300,-5,1
1301,-5,2
1302,-4.5,2
1303,-4,2
1304,-3,2
1305,-3.7,3.3
1306,-4.3,4.7
1307,-5,6
1308,-5,5
1309,-6,5
1310,-7,5
1311,-6,5
1312,-5.4,4.6
1313,-4.8,4.2
1314,-4.2,3.8
1315,-3.6,3.4
1316,-3,3
1317,-4,3
1318,-4,2.5
1319,-4,2
1320,-4,2
1321,-4,2
1322,-4,2
1323,-4,1
1324,-3.5,1.5
1325,-3,2
1326,-2.7,3
1327,-2.3,4
1328,-2,5
1329,-1.7,6.3
1330,-1.3,7.7
1331,-1,9
1332,0,8.3
1333,1,7.7
1334,2,7
1335,2,7
1336,1,6.5
1337,0,6
1338,0,5.7
1339,0,5.3
1340,0,5
1341,-0.2,4.7
1342,-0.3,4.3
1343,-0.5,4
1344,-0.7,3.7
1345,-0.8,3.3
1346,-1,3
1347,-1.3,3
1348,-1.7,3
1349,-2,3
1350,-2.3,4.3
1351,-2.7,5.7
1352,-3,7
1353,-3.7,7.7
1354,-4.3,8.3
1355,-5,9
1356,-4,8.7
1357,-3,8.3
1358,-2,8
1359,-2.3,7
1360,-2.7,6
1361,-3,5
1362,-2.7,4.3
1363,-2.3,3.7
1364,-2,3
1365,-2.3,2.7
1366,-2.7,2.3
1367,-3,2
1368,-3,1.7
1369,-3,1.3
1370,-3,1
1371,-3.3,0
1372,-3.7,-1
1373,-4,-2
1374,-2,0
1375,-1.5,2.5
1376,-1,5
1377,-1.7,6.3
1378,-2.3,7.7
1379,-3,9
1380,-2,9
1381,-1,9
1382,-2,8
1383,-2.2,7.2
1384,-2.3,6.3
1385,-2.5,5.5
1386,-2.7,4.7
1387,-2.8,3.8
1388,-3,3
1389,-3,2.7
1390,-3,2.3
1391,-3,2
1392,-3,2
1393,-3,2
1394,-3,2
1395,-3,1.3
1396,-3,0.7
1397,-3,0
1398,-2.7,1.7
1399,-2.3,3.3
1400,-2,5
1401,-2,6.7
1402,-2,8.3
1403,-2,10
1404,-1,9
1405,-1,10
1406,-1,11
1407,-1.3,10.3
1408,-1.7,9.7
1409,-2,9
1410,-2,7.9
1411,-1.7,7.3
1412,-1.4,6.6
1413,-0.9,5.9
1414,0,5.5
1415,1.5,5.6
1416,3.2,6.1
1417,4.8,6.7
1418,6.1,7.4
1419,7,7.8
1420,7.6,7.9
1421,7.9,7.9
1422,7,9
1423,7,8.5
1424,7,8
1425,6.3,9.3
1426,5.7,10.7
1427,5,12
1428,3.5,12
1429,2,12
1430,4,8
1431,4,8
1432,2.5,7.5
1433,1,7
1434,-0.5,6.5
1435,-2,6
1436,-1,5
1437,-1.5,4.5
1438,-2,4
1439,-2,4
1440,-3,4
1441,-2,3
1442,-1,3
1443,-2,3
1444,-3,3
1445,-2,3
1446,-2,3.7
1447,-2,4.3
1448,-2,5
1449,-2.7,6
1450,-3.3,7
1451,-4,8
1452,-4,8
1453,-4,8
1454,-4,8
1455,-3,8
1456,-3,7
1457,-3,5
1458,-3,4
1459,-3,3
1460,-3,2
1461,-2.5,2
1462,-2,2
1463,-3,2
1464,-3,1
1465,-3,0
1466,-3,0
1467,-3,0
1468,-3,0
1469,-4,0
1470,-3.7,1.3
1471,-3.3,2.7
1472,-3,4
1473,-3.5,5
1474,-4,6
1475,-4,7
1476,-4,7
1477,-4,7
1478,-4,7
1479,-4,7
1480,-4,7
1481,-4,7
1482,-3.7,5.7
1483,-3.3,4.3
1484,-3,3
1485,-3,2.5
1486,-3,2
1487,-3,2
1488,-3,2
1489,-3,1
1490,-3,1
1491,-3,0
1492,-3,0
1493,-3,-1
1494,-2.5,0.5
1495,-2,2
1496,-1,5
1497,-0.7,6.7
1498,-0.3,8.3
1499,0,10
1500,-1,10
1501,-1.5,10
1502,-2,10
1503,-1.3,9
1504,-0.7,8
1505,0,7
1506,-1,7
1507,-2,7
1508,-3,7
1509,-2.5,5.5
1510,-2,4
1511,-3,4
1512,-4,3
1513,-4,2
1514,-5,2
1515,-8,2
1516,-8,1
1517,-7,0
1518,-6.7,1
1519,-6.3,2
1520,-6,3
1521,-6.3,4
1522,-6.7,5
1523,-7,6
1524,-5,4
1525,-4,4
1526,-3,4
1527,-4,3
1528,-7,3
1529,-7,3
1530,-6.3,2.3
1531,-5.7,1.7
1532,-5,1
1533,-5,0.5
1534,-5,0
1535,-5,0
1536,-5,0
1537,-5,0
1538,-4,1
1539,-5,1
1540,-4,0
1541,-4,1
1542,-3.7,2
1543,-3.3,3
1544,-3,4
1545,-3.3,4.7
1546,-3.7,5.3
1547,-4,6
1548,-4,7
1549,-4,8
1550,-4,9
1551,-4,8.3
1552,-4,7.7
1553,-4,7
1554,-3.7,6.3
1555,-3.3,5.7
1556,-3,5
1557,-3,4
1558,-3,3
1559,-3,2
1560,-3,1
1561,-3,1
1562,-3,1
1563,-3,0
1564,-4,0
1565,-4,0
1566,-3,0
1567,-2,3
1568,-2,5
1569,-2.3,5.7
1570,-2.7,6.3
1571,-3,7
1572,0,7
1573,1.5,6
1574,3,5
1575,3,5
1576,3,5
1577,3,5
1578,3,5.3
1579,3,5.7
1580,3,6
1581,3.5,6
1582,4,6
1583,4,6
1584,4,6
1585,4,6
1586,4,7
1587,4,7
1588,5,6
1589,5,7
1590,5,7
1591,5,7
1592,5,7
1593,5.7,8.7
1594,6.3,10.3
1595,7,12
1596,7,13.5
1597,7,15
1598,5,13
1599,4,14
1600,3,11.5
1601,2,9
1602,0,8.3
1603,-2,7.7
1604,-4,7
1605,-4,7
1606,-4,7
1607,-3,7
1608,-2,6
1609,-1,6
1610,0,5
1611,0,4.5
1612,0,4
1613,-2,5
1614,-3,4
1615,-3,5
1616,-3,6
1617,-2.3,7
1618,-1.7,8
1619,-1,9
1620,-2,8
1621,-2.5,8.5
1622,-3,9
1623,-3.3,8
