index,data,data2
166,2.2,-2
167,2,-2
168,1,-2
169,0,-2.5
170,-1,-3
171,-0.7,-2.7
172,-0.3,-2.3
173,0,-2
174,1,-1.7
175,2,-1.3
176,3,-1
177,4,-1
178,5.5,-1.5
179,7,-2
180,7.3,-2.3
181,7.7,-2.7
182,8,-3
183,7.3,-3
184,6.7,-3
185,6,-3
186,4.7,-2.7
187,3.3,-2.3
188,2,-2
189,1.7,-2.3
190,1.5,-2.5
191,1.2,-2.8
192,1,-3
193,0.5,-3
194,0,-3
195,0,-3
196,0.4,-2.6
197,0.8,-2.2
198,1.2,-1.8
199,1.6,-1.4
200,2,-1
201,4.3,-0.7
202,6.7,-0.3
203,9,0
204,9.7,1
205,10.3,2
206,11,3
207,10.3,2.3
208,9.7,1.7
209,9,1
210,7.7,1
211,6.3,1
212,5,1
213,4.3,0.7
214,3.7,0.3
215,3,0
216,2.7,-0.3
217,2.3,-0.7
218,2,-1
219,2,0
220,2,0
221,2,0
222,3,0.7
223,4,1.3
224,5,2
225,7,2
226,9,2
227,11,2
228,13,2
229,13,2
230,14,1
231,12.7,1
232,11.3,1
233,10,1
234,9.3,1
235,8.7,1
236,8,1
237,7,1
238,6,1
239,5,1
240,4.7,1
241,4.3,1
242,4,1
243,3.3,0.7
244,2.7,0.3
245,2,0
246,3.7,1
247,5.3,2
248,7,3
249,8.7,3
250,10.3,3
251,12,3
252,11.7,3
253,11.3,3
254,11,3
255,10.7,3
256,10.3,3
257,10,3
258,9,3
259,8,3
260,7,3
261,6,3
262,6,3
263,6,3
264,6,3
265,6,3
266,6,3
267,5,2
268,5,2
269,6,2
270,6.7,2
271,7.3,2
272,8,2
273,8.5,2
274,9,2
275,9,2
276,10,2
277,9.8,1.8
278,9.6,1.6
279,9.4,1.4
280,9.2,1.2
281,9,1
282,8.3,1
283,7.7,1
284,7,1
285,6.3,1
286,5.7,1
287,5,1
288,5,1
289,5,1
290,4.5,1
291,4,1
292,3.5,1
293,3,1
294,3.8,1.2
295,4.7,1.3
296,5.5,1.5
297,6.3,1.7
298,7.2,1.8
299,8,2
300,8,1.7
301,8,1.3
302,8,1
303,8,1.3
304,8,1.7
305,8,2
306,7.7,2.7
307,7.3,3.3
308,7,4
309,6,4
310,5.5,4
311,5,4
312,4.3,3.3
313,3.7,2.7
314,3,2
315,4,1
316,4,1
317,4,1
318,4.5,1.5
319,5,2
320,5,1
321,6.5,0.5
322,8,0
323,8,-1
324,8,-1
325,8,-1
326,8,-1
327,7,-1
328,6,-1
329,5,-1
330,4.7,-1.3
331,4.3,-1.7
332,4,-2
333,3,-1
334,2.7,-1
335,2.3,-1
336,2,-1
337,2,-1.4
338,2,-1.8
339,2,-2.2
340,2,-2.6
341,2,-3
342,2.7,-3.7
343,3.3,-4.3
344,4,-5
345,5,-5
346,6,-5
347,7,-5
348,7,-4.7
349,7,-4.3
350,7,-4
351,6,-4.3
352,5,-4.7
353,4,-5
354,3.3,-4.7
355,2.7,-4.3
356,2,-4
357,1.3,-4
358,0.7,-4
359,0,-4
360,-0.7,-4.3
361,-1.3,-4.7
362,-2,-5
363,-2,-5
364,-2,-5
365,-2,-5
366,-2,-5
367,0,-4
368,2,-3
369,4,-3
370,6,-3
371,8,-3
372,9,-6
373,10,-9
374,11,-12
375,9.7,-8.7
376,8.3,-5.3
377,7,-2
378,6.3,-2
379,5.7,-2
380,5,-2
381,4,-2.5
382,3,-3
383,2,-3
384,2.3,-2.7
385,2.7,-2.3
386,3,-2
387,3.3,-1.3
388,3.7,-0.7
389,4,0
390,4,1
391,5.5,2.5
392,7,4
393,7.7,4.7
394,8.3,5.3
395,9,6
396,9,7
397,9,8
398,9,8
399,9.3,8.7
400,9.7,9.3
401,10,10
402,11.3,10.7
403,12.7,11.3
404,14,12
405,13,9.5
406,12,7
407,10,6
408,9.7,5.7
409,9.3,5.3
410,9,5
411,8,5
412,8,5
413,8,5
414,8.3,5
415,8.7,5
416,9,5
417,10,4.5
418,11,4
419,10,4
420,10.3,4
421,10.7,4
422,11,4
423,10.2,3.8
424,9.3,3.7
425,8.5,3.5
426,7.7,3.3
427,6.8,3.2
428,6,3
429,5.7,1.7
430,5.3,0.3
431,5,-1
432,4.3,-1
433,3.7,-1
434,3,-1
435,2.7,-1.7
436,2.3,-2.3
437,2,-3
438,2.7,-2.3
439,3.3,-1.7
440,4,-1
441,4.3,-0.7
442,4.7,-0.3
443,5,0
444,5.3,-2
445,5.7,-4
446,6,-6
447,5,-5.7
448,4,-5.3
449,3,-5
450,2.7,-5
451,2.3,-5
452,2,-5
453,2,-4.7
454,2,-4.3
455,2,-4
456,1,-4
457,0,-4
458,0,-4
459,1,-4
460,0.5,-4.5
461,0,-5
462,0.7,-5
463,1.3,-5
464,2,-5
465,3.7,-5
466,5.3,-5
467,7,-5
468,6.7,-5.3
469,6.3,-5.7
470,6,-6
471,6,-6
472,5.5,-6
473,5,-6
474,4.3,-5.3
475,3.7,-4.7
476,3,-4
477,2.3,-3.7
478,1.7,-3.3
479,1,-3
480,1.3,-3
481,1.7,-3
482,2,-3
483,1.7,-3
484,1.3,-3
485,1,-3
486,2,-3.3
487,3,-3.7
488,4,-4
489,5,-5
490,6,-6.5
491,7,-8
492,7,-7
493,7,-6
494,7,-5
495,6,-4.3
496,5,-3.7
497,4,-3
498,3.7,-3.3
499,3.3,-3.7
500,3,-4
501,3,-4
502,3,-4
503,3,-4
504,2.7,-3.7
505,2.3,-3.3
506,2,-3
507,1.7,-3
508,1.3,-3
509,1,-3
510,1.7,-3
511,2.3,-3
512,3,-3
513,4.3,-4.3
514,5.7,-5.7
515,7,-7
516,7,-7
517,6.5,-5
518,6,-3
519,5.3,-4
520,4.7,-5
521,4,-6
522,3.4,-7.1
523,2.7,-8.1
524,2.1,-9.2
525,1.8,-8.3
526,1.5,-7.3
527,1.2,-6.4
528,0.7,-6.1
529,0.2,-5.8
530,-0.3,-5.6
531,-0.7,-5.5
532,-1.2,-5.4
533,-1.7,-5.3
534,-1,-5
535,1.5,-3.5
536,4,-2
537,5,-4.5
538,6,-7
539,6,-9
540,7,-9
541,6,-5
542,5,-1
543,4.3,-2
544,3.7,-3
545,3,-4
546,2.3,-6
547,1.7,-8
548,1,-10
549,0.7,-8.3
550,0.3,-6.7
551,0,-5
552,-0.3,-5
553,-0.7,-5
554,-1,-5
555,-1.3,-5
556,-1.7,-5
557,-2,-5
558,-1,-4.7
559,0,-4.3
560,1,-4
561,2.3,-4.7
562,3.7,-5.3
563,5,-6
564,5,-6
565,5,-6
566,5,-6
567,4.7,-6.3
568,4.3,-6.7
569,4,-7
570,3,-6.3
571,2,-5.7
572,1,-5
573,0.7,-5
574,0.3,-5
575,0,-5
576,-0.3,-5
577,-0.7,-5
578,-1,-5
579,-1,-5
580,-0.7,-4.7
581,-0.3,-4.3
582,0,-4
583,1.5,-3
584,3,-2
585,4.7,-1.3
586,6.3,-0.7
587,8,0
588,8.5,0.5
589,9,1
590,9,0
591,8.7,0
592,8.3,0
593,8,0
594,7.3,0
595,6.7,0
596,6,0
597,5,0
598,4,0
599,3,0
600,2.3,-0.3
601,1.7,-0.7
602,1,-1
603,1,-1.5
604,1,-2
605,0,-2
606,1,-1.5
607,2,-1
608,4,-0.3
609,6,0.5
610,8,1.2
611,10,2
612,10.3,1.7
613,10.7,1.3
614,11,1
615,11,1.5
616,11,2
617,10,2
618,9,2.5
619,8,3
620,8,3
621,8,3
622,8,3
623,8,3
624,7.3,2.7
625,6.7,2.3
626,6,2
627,6,2
628,6,2
629,6,2
630,6.3,1.7
631,6.7,1.3
632,7,1
633,7.7,0
634,8.3,-1
635,9,-2
636,9.3,-2.3
637,9.7,-2.7
638,10,-3
639,8.7,-2.7
640,7.3,-2.3
641,6,-2
642,5.3,-2
643,4.7,-2
644,4,-2
645,4,-1.5
646,4,-1
647,3,-1
648,3,-1
649,3,-1
650,3,-1
651,2.7,-1
652,2.3,-1
653,2,-1
654,3,-1.3
655,4,-1.7
656,5,-2
657,6,-3
658,7,-4
659,8,-5
660,7.3,-2.7
661,6.7,-0.3
662,6,2
663,5.3,2
664,4.7,2
665,4,2
666,4,3
667,4,3
668,4,3
669,3.7,2.3
670,3.3,1.7
671,3,1
672,3,0.3
673,3,-0.3
674,3,-1
675,3,-1.3
676,3,-1.7
677,3,-2
678,3.5,-2
679,4,-2
680,4.5,-2
681,5,-2
682,5.5,-2
683,6,-2
684,5.3,-2.8
685,4.7,-3.7
686,4,-4.5
687,3.3,-5.3
688,2.7,-6.2
689,2,-7
690,1.3,-6.7
691,0.7,-6.3
692,0,-6
693,0,-5.7
694,0,-5.3
695,0,-5
696,-0.3,-5
697,-0.7,-5
698,-1,-5
699,-1,-5
700,-1,-4.5
701,-1,-4
702,-0.7,-4.3
703,-0.3,-4.7
704,0,-5
705,1,-5.3
706,2,-5.7
707,3,-6
708,3.3,-6
709,3.7,-6
710,4,-6
711,3,-6
712,2.5,-6
713,2,-6
714,1.5,-6
715,1,-6
716,0,-6
717,-0.3,-5.7
718,-0.7,-5.3
719,-1,-5
720,-0.7,-4.7
721,-0.3,-4.3
722,0,-4
723,-0.3,-4
724,-0.7,-4
725,-1,-4
726,0,-4
727,1,-4
728,2,-4
729,3,-4.3
730,4,-4.7
731,5,-5
732,6,-5.3
733,7,-5.7
734,8,-6
735,7,-6
736,6,-6
737,6,-6
738,5.6,-4.8
739,5.4,-4.1
740,5.1,-3.6
741,4.9,-3
742,4.6,-2.5
743,4.4,-2
744,4.2,-1.4
745,4.1,-0.8
746,4,-0.2
747,4,0.3
748,4,0.7
749,3.9,1.1
750,4.3,1.7
751,4.7,2.3
752,5,3
753,5.3,3.3
754,5.7,3.7
755,6,4
756,6.7,4.3
757,7.3,4.7
758,8,5
759,8,5.3
760,8,5.7
761,8,6
762,8,6
763,8,3
764,7,2
765,6.3,1.7
766,5.7,1.3
767,5,1
768,8,5
769,6,2
770,4,-1
771,3.3,-1.7
772,2.7,-2.3
773,2,-3
774,2,-3
775,3,-2.5
776,4,-2
777,4.7,-2.3
778,5.3,-2.7
779,6,-3
780,5,-3
781,5,-3.5
782,5,-4
783,4,-5
784,3.5,-4
785,3,-3
786,3,-3
787,3,-3
788,2,-3
789,2.7,-3
790,3.3,-3
791,4,-3
792,3,-4
793,2.8,-4.2
794,2.6,-4.4
795,2.4,-4.6
796,2.2,-4.8
797,2,-5
798,2.7,-4.7
799,3.3,-4.3
800,4,-4
801,4,-4
802,5,-4
803,6,-4
804,6,-3
805,5.7,-2.3
806,5.3,-1.7
807,5,-1
808,4,-2
809,3,-3
810,2,-2
811,1.5,-2
812,1,-2
813,1,-2.5
814,1,-3
815,1,-3
816,1,-2.7
817,1,-2.3
818,1,-2
819,1,-2
820,1,-2.5
821,1,-3
822,2,-3.3
823,3,-3.7
824,4,-4
825,5,-4
826,6,-4
827,6,-3
828,6.7,-3
829,7.3,-3
830,8,-3
831,7,-2
832,7,-2.5
833,7,-3
834,6.7,-2.7
835,6.3,-2.3
836,6,-2
837,5.7,-1.7
838,5.3,-1.3
839,5,-1
840,4.7,-1
841,4.3,-1
842,4,-1
843,4,-0.7
844,4,-0.3
845,4,0
846,4,0
847,5,0
848,6,0
849,7,0
850,8.5,1.5
851,10,3
852,10,2.5
853,10,2
854,10,2
855,9.7,2
856,9.3,2
857,9,2
858,8.3,2
859,7.7,2
860,7,2
861,6.3,1.7
862,5.7,1.3
863,5,1
864,4.3,0.7
865,3.7,0.3
866,3,0
867,2.7,-0.3
868,2.3,-0.7
869,2,-1
870,3,0
871,4,1
872,5,2
873,7.3,2
874,9.7,2
875,12,2
876,12.3,1.7
877,12.7,1.3
878,13,1
879,12,0.3
880,11,-0.3
881,10,-1
882,9,0.5
883,8,2
884,6,1
885,5.5,1
886,5,1
887,5,1
888,5,1
889,5,1
890,5,1
891,5,1
892,5,1
893,5,1
894,5,1
895,5,1
896,8,2
897,9,2.3
898,10,2.7
899,11,3
900,12,2
901,12.5,-0.5
902,13,-3
903,12,-2.7
904,11,-2.3
905,10,-2
906,9.3,-2
907,8.7,-2
908,8,-2
909,6.7,-1.7
910,5.3,-1.3
911,4,-1
912,3.3,-1
913,2.7,-1
914,2,-1
915,1.7,-1.3
916,1.3,-1.7
917,1,-2
918,2.7,-1
919,4.3,0
920,6,1
921,7.5,0.5
922,9,0
923,10,-1
924,10,-1
925,10.5,0
926,11,1
927,10.7,1.7
928,10.3,2.3
929,10,3
930,9.3,3.7
931,8.7,4.3
932,8,5
933,8,6
934,8,5.5
935,8,5
936,11,1
937,9,3
938,7,5
939,6.7,4.7
940,6.3,4.3
941,6,4
942,7.3,2.3
943,8.7,0.7
944,10,-1
945,9.3,0
946,8.7,1
947,8,2
948,8.3,1.3
949,8.7,0.7
950,9,0
951,8,-0.3
952,7,-0.7
953,6,-1
954,6,-1.7
955,6,-2.3
956,6,-3
957,5.3,-2
958,4.7,-1
959,4,0
960,3.7,0
961,3.3,0
962,3,0
963,2.5,0
964,2,0
965,2,-2
966,2.3,-2.3
967,2.7,-2.7
968,3,-3
969,3.7,-3.7
970,4.3,-4.3
971,5,-5
972,4.3,-5
973,3.7,-5
974,3,-5
975,2.7,-5
976,2.3,-5
977,2,-5
978,1.7,-5
979,1.3,-5
980,1,-5
981,1,-5
982,1,-5
983,1,-5
984,1,-5
985,1,-5
986,1,-5
987,1,-5
988,1,-5
989,1,-5
990,1.7,-4.7
991,2.3,-4.3
992,3,-4
993,4,-4.7
994,5,-5.3
995,6,-6
996,6,-5.7
997,6,-5.3
998,6,-5
999,5.7,-5
1000,5.3,-5
1001,5,-5
1002,4.7,-4.3
1003,4.3,-3.7
1004,4,-3
1005,3.5,-3
1006,3,-3
1007,1,-1
1008,0.7,-1
1009,0.3,-1
1010,0,-1
1011,1,-1
1012,0.5,-0.5
1013,0,0
1014,0.3,-0.3
1015,0.7,-0.7
1016,1,-1
1017,1,-1
1018,2,-1
1019,3,-1
1020,3,-1.3
1021,3,-1.7
1022,3,-2
1023,3,-3
1024,2.5,-4
1025,2,-5
1026,1.3,-4.7
1027,0.7,-4.3
1028,0,-4
1029,0,-3
1030,-0.3,-3.3
1031,-0.5,-3.5
1032,-0.8,-3.8
1033,-1,-4
1034,-1,-4.3
1035,-1,-4.5
1036,-1,-4.8
1037,-1,-5
1038,-0.3,-5
1039,0.3,-5
1040,1,-5
1041,2,-4.5
1042,3,-4
1043,4,-4
1044,4,-3.3
1045,4,-2.7
1046,4,-2
1047,3.7,-2
1048,3.3,-2
1049,3,-2
1050,2.7,-2.3
1051,2.3,-2.7
1052,2,-3
1053,1.7,-2.7
1054,1.3,-2.3
1055,1,-2
1056,1,-2
1057,1,-2
1058,1,-2
1059,0.5,-2.5
1060,0,-3
1061,0,-3
1062,1.2,-3
1063,2.3,-3
1064,3.5,-3
1065,4.8,-2.9
1066,6.2,-2.8
1067,7.5,-3
1068,7.8,-3.3
1069,8.4,-3.2
1070,9,-3
1071,8.3,-3
1072,7.7,-3
1073,7,-3
1074,5.7,-2.7
1075,4.3,-2.3
1076,3,-2
1077,2,-2
1078,1,-2
1079,1.5,-2
1080,2,-2
1081,1.5,-2
1082,1,-2
1083,1,-2
1084,1,-2
1085,0,-2
1086,1,-1.7
1087,2,-1.3
1088,3,-1
1089,4,-1
1090,5,-1
1091,6,-1
1092,6,-2
1093,6.5,-2
1094,7,-2
1095,6.7,-2
1096,6.3,-2
1097,6,-2
1098,5.3,-1.3
1099,4.7,-0.7
1100,4,0
1101,4,-1
1102,4,-1
1103,4,-1
1104,3.3,-1.3
1105,2.7,-1.7
1106,2,-2
1107,1.3,-2
1108,0.7,-2
1109,0,-2
1110,0,-2
1111,2.5,-2
1112,5,-2
1113,5.5,-2.2
1114,6,-2.3
1115,6.5,-2.5
1116,7,-2.7
1117,7.5,-2.8
1118,8,-3
1119,8,-3
1120,8,-3
1121,7,-3
1122,6,-2.7
1123,5,-2.3
1124,4,-2
1125,3.7,-2
1126,3.3,-2
1127,3,-2
1128,1.7,-2.3
1129,0.3,-2.7
1130,-1,-3
1131,0,-3
1132,0.5,-2.5
1133,1,-2
1134,2.3,-2
1135,3.7,-2
1136,5,-2
1137,6.3,-2.7
1138,7.7,-3.3
1139,9,-4
1140,9.3,-4
1141,9.7,-4
1142,10,-4
1143,8.7,-4.3
1144,7.3,-4.7
1145,6,-5
1146,5.7,-5
1147,5.3,-5
1148,5,-5
1149,3.7,-4.3
1150,2.3,-3.7
1151,1,-3
1152,0.7,-3.3
1153,0.3,-3.7
1154,0,-4
1155,0,-4
1156,0,-4
1157,0,-4
1158,1.3,-3
1159,2.7,-2
1160,4,-1
1161,5.5,-1.5
1162,7,-2
1163,9,-2
1164,10,-2
1165,11,-2
1166,13,-2
1167,12,-2
1168,11,-2
1169,10,-2
1170,8.7,-1.7
1171,7.3,-1.3
1172,6,-1
1173,5,-1.3
1174,4,-1.7
1175,3,-2
1176,2.3,-2.3
1177,1.7,-2.7
1178,1,-3
1179,0.7,-3
1180,0.3,-3
1181,0,-3
1182,1.7,-2.3
1183,3.3,-1.7
1184,5,-1
1185,7.7,-1.3
1186,10.3,-1.7
1187,13,-2
1188,13.7,-1.7
1189,14.3,-1.3
1190,15,-1
1191,14.3,-0.3
1192,13.7,0.3
1193,13,1
1194,11.8,1
1195,10.7,1
1196,9.5,1
1197,8.3,1
1198,7.2,1
1199,6,1
1200,5.3,0.7
1201,4.7,0.3
1202,4,0
1203,4,0
1204,4,0
1205,4,0
1206,5,1
1207,6,1
1208,7,1
1209,8.5,1.5
1210,10,2
1211,11,1
1212,13,1
1213,13,1.5
1214,13,2
1215,12.7,2.7
1216,12.3,3.3
1217,12,4
1218,11.7,5.7
1219,11.3,7.3
1220,11,9
1221,11,9
1222,11,9
1223,11,9
1224,11,9
1225,11,9
1226,11,9
1227,10.7,9
1228,10.3,9
1229,10,9
1230,10.3,9.3
1231,10.7,9.7
1232,11,10
1233,10.7,8.7
1234,10.3,7.3
1235,10,6
1236,10,4.5
1237,10,3
1238,10,2
1239,9.3,1.3
1240,8.7,0.7
1241,8,0
1242,6.7,-0.3
1243,5.3,-0.7
1244,4,-1
1245,4,-2.7
1246,4,-4.3
1247,4,-6
1248,3.7,-5.7
1249,3.3,-5.3
1250,3,-5
1251,3,-4
1252,3,-3
1253,3,-2
1254,3.7,-2
1255,4.3,-2
1256,5,-2
1257,6.3,-2
1258,7.7,-2
1259,9,-2
1260,8.7,-3.3
1261,8.3,-4.7
1262,8,-6
1263,8,-6
1264,8,-6
1265,8,-6
1266,7,-5
1267,6,-4
1268,5,-3
1269,4.7,-3
1270,4.3,-3
1271,4,-3
1272,4.7,-3
1273,5.3,-3
1274,6,-3
1275,5.7,-3
1276,5.3,-3
1277,5,-3
1278,5.3,-2.3
1279,5.7,-1.7
1280,6,-1
1281,6.7,-1.3
1282,7.3,-1.7
1283,8,-2
1284,7.7,-1.7
1285,7.3,-1.3
1286,7,-1
1287,6.5,-1.5
1288,6,-2
1289,4,-2
1290,3.7,-2.7
1291,3.3,-3.3
1292,3,-4
1293,2.7,-4.7
1294,2.3,-5.3
1295,2,-6
1296,2,-7
1297,2,-6
1298,1.7,-5.7
1299,1.3,-5.3
1300,1,-5
1301,2,-5
1302,2,-4.5
1303,2,-4
1304,2,-3
1305,3.3,-3.7
1306,4.7,-4.3
1307,6,-5
1308,5,-5
1309,5,-6
1310,5,-7
1311,5,-6
1312,4.6,-5.4
1313,4.2,-4.8
1314,3.8,-4.2
1315,3.4,-3.6
1316,3,-3
1317,3,-4
1318,2.5,-4
1319,2,-4
1320,2,-4
1321,2,-4
1322,2,-4
1323,1,-4
1324,1.5,-3.5
1325,2,-3
1326,3,-2.7
1327,4,-2.3
1328,5,-2
1329,6.3,-1.7
1330,7.7,-1.3
1331,9,-1
1332,8.3,0
1333,7.7,1
1334,7,2
1335,7,2
1336,6.5,1
1337,6,0
1338,5.7,0
1339,5.3,0
1340,5,0
1341,4.7,-0.2
1342,4.3,-0.3
1343,4,-0.5
1344,3.7,-0.7
1345,3.3,-0.8
1346,3,-1
1347,3,-1.3
1348,3,-1.7
1349,3,-2
1350,4.3,-2.3
1351,5.7,-2.7
1352,7,-3
1353,7.7,-3.7
1354,8.3,-4.3
1355,9,-5
1356,8.7,-4
1357,8.3,-3
1358,8,-2
1359,7,-2.3
1360,6,-2.7
1361,5,-3
1362,4.3,-2.7
1363,3.7,-2.3
1364,3,-2
1365,2.7,-2.3
1366,2.3,-2.7
1367,2,-3
1368,1.7,-3
1369,1.3,-3
1370,1,-3
1371,0,-3.3
1372,-1,-3.7
1373,-2,-4
1374,0,-2
1375,2.5,-1.5
1376,5,-1
1377,6.3,-1.7
1378,7.7,-2.3
1379,9,-3
1380,9,-2
1381,9,-1
1382,8,-2
1383,7.2,-2.2
1384,6.3,-2.3
1385,5.5,-2.5
1386,4.7,-2.7
1387,3.8,-2.8
1388,3,-3
1389,2.7,-3
1390,2.3,-3
1391,2,-3
1392,2,-3
1393,2,-3
1394,2,-3
1395,1.3,-3
1396,0.7,-3
1397,0,-3
1398,1.7,-2.7
1399,3.3,-2.3
1400,5,-2
1401,6.7,-2
1402,8.3,-2
1403,10,-2
1404,9,-1
1405,10,-1
1406,11,-1
1407,10.3,-1.3
1408,9.7,-1.7
1409,9,-2
1410,7.9,-2
1411,7.3,-1.7
1412,6.6,-1.4
1413,5.9,-0.9
1414,5.5,0
1415,5.6,1.5
1416,6.1,3.2
1417,6.7,4.8
1418,7.4,6.1
1419,7.8,7
1420,7.9,7.6
1421,7.9,7.9
1422,9,7
1423,8.5,7
1424,8,7
1425,9.3,6.3
1426,10.7,5.7
1427,12,5
1428,12,3.5
1429,12,2
1430,8,4
1431,8,4
1432,7.5,2.5
1433,7,1
1434,6.5,-0.5
1435,6,-2
1436,5,-1
1437,4.5,-1.5
1438,4,-2
1439,4,-2
1440,4,-3
1441,3,-2
1442,3,-1
1443,3,-2
1444,3,-3
1445,3,-2
1446,3.7,-2
1447,4.3,-2
1448,5,-2
1449,6,-2.7
1450,7,-3.3
1451,8,-4
1452,8,-4
1453,8,-4
1454,8,-4
1455,8,-3
1456,7,-3
1457,5,-3
1458,4,-3
1459,3,-3
1460,2,-3
1461,2,-2.5
1462,2,-2
1463,2,-3
1464,1,-3
1465,0,-3
1466,0,-3
1467,0,-3
1468,0,-3
1469,0,-4
1470,1.3,-3.7
1471,2.7,-3.3
1472,4,-3
1473,5,-3.5
1474,6,-4
1475,7,-4
1476,7,-4
1477,7,-4
1478,7,-4
1479,7,-4
1480,7,-4
1481,7,-4
1482,5.7,-3.7
1483,4.3,-3.3
1484,3,-3
1485,2.5,-3
1486,2,-3
1487,2,-3
1488,2,-3
1489,1,-3
1490,1,-3
1491,0,-3
1492,0,-3
1493,-1,-3
1494,0.5,-2.5
1495,2,-2
1496,5,-1
1497,6.7,-0.7
1498,8.3,-0.3
1499,10,0
1500,10,-1
1501,10,-1.5
1502,10,-2
1503,9,-1.3
1504,8,-0.7
1505,7,0
1506,7,-1
1507,7,-2
1508,7,-3
1509,5.5,-2.5
1510,4,-2
1511,4,-3
1512,3,-4
1513,2,-4
1514,2,-5
1515,2,-8
1516,1,-8
1517,0,-7
1518,1,-6.7
1519,2,-6.3
1520,3,-6
1521,4,-6.3
1522,5,-6.7
1523,6,-7
1524,4,-5
1525,4,-4
1526,4,-3
1527,3,-4
1528,3,-7
1529,3,-7
1530,2.3,-6.3
1531,1.7,-5.7
1532,1,-5
1533,0.5,-5
1534,0,-5
1535,0,-5
1536,0,-5
1537,0,-5
1538,1,-4
1539,1,-5
1540,0,-4
1541,1,-4
1542,2,-3.7
1543,3,-3.3
1544,4,-3
1545,4.7,-3.3
1546,5.3,-3.7
1547,6,-4
1548,7,-4
1549,8,-4
1550,9,-4
1551,8.3,-4
1552,7.7,-4
1553,7,-4
1554,6.3,-3.7
1555,5.7,-3.3
1556,5,-3
1557,4,-3
1558,3,-3
1559,2,-3
1560,1,-3
1561,1,-3
1562,1,-3
1563,0,-3
1564,0,-4
1565,0,-4
1566,0,-3
1567,3,-2
1568,5,-2
1569,5.7,-2.3
1570,6.3,-2.7
1571,7,-3
1572,7,0
1573,6,1.5
1574,5,3
1575,5,3
1576,5,3
1577,5,3
1578,5.3,3
1579,5.7,3
1580,6,3
1581,6,3.5
1582,6,4
1583,6,4
1584,6,4
1585,6,4
1586,7,4
1587,7,4
1588,6,5
1589,7,5
1590,7,5
1591,7,5
1592,7,5
1593,8.7,5.7
1594,10.3,6.3
1595,12,7
1596,13.5,7
1597,15,7
1598,13,5
1599,14,4
1600,11.5,3
1601,9,2
1602,8.3,0
1603,7.7,-2
1604,7,-4
1605,7,-4
1606,7,-4
1607,7,-3
1608,6,-2
1609,6,-1
1610,5,0
1611,4.5,0
1612,4,0
1613,5,-2
1614,4,-3
1615,5,-3
1616,6,-3
1617,7,-2.3
1618,8,-1.7
1619,9,-1
1620,8,-2
1621,8.5,-2.5
1622,9,-3
1623,8,-3.3
